日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK1043,专业服务,1012.14,0.14,-122129163,-5.1,-21506555,-0.9,-100622608,-4.2,-5984960,-0.25,127611008,5.33
2023-09-04,BK1043,专业服务,1022.77,0.47,-49862223,-1.55,-18634831,-0.58,-31227392,-0.97,10825248,0.34,40665168,1.27
2023-08-31,BK1043,专业服务,1021.56,-1.32,-226358477,-6.01,-71293421,-1.89,-155065056,-4.12,17230384,0.46,208935840,5.55
2023-08-29,BK1043,专业服务,1023.01,3.39,-70235813,-1.53,-63984709,-1.4,-6251104,-0.14,-27088432,-0.59,96644128,2.11
2023-08-28,BK1043,专业服务,989.47,0.32,-142706789,-2.96,-52762277,-1.09,-89944512,-1.86,5307856,0.11,137301648,2.85
2023-08-25,BK1043,专业服务,986.36,-1.78,-147804896,-3.27,-30690800,-0.68,-117114096,-2.59,-41673840,-0.92,187946960,4.16
2023-08-24,BK1043,专业服务,1004.22,0.88,-125228176,-3.14,77347936,1.94,-202576112,-5.07,29682624,0.74,95395904,2.39
2023-08-23,BK1043,专业服务,995.5,0.28,46816398,1.58,111458398,3.76,-64642000,-2.18,-38603776,-1.3,-8212592,-0.28
2023-08-21,BK1043,专业服务,990.58,-0.37,-32907925,-1.69,-19739109,-1.01,-13168816,-0.68,-2947552,-0.15,35976432,1.85
2023-08-18,BK1043,专业服务,994.26,-1.35,-90166823,-3.88,-48767991,-2.1,-41398832,-1.78,5794016,0.25,83706576,3.6
2023-08-16,BK1043,专业服务,995.66,-0.19,-3316180,-0.15,-32388884,-1.49,29072704,1.33,-39069200,-1.79,41333696,1.9
2023-08-15,BK1043,专业服务,997.53,-0.76,-103402964,-5.24,-39484948,-2.0,-63918016,-3.24,-30896832,-1.57,134331680,6.8
2023-08-14,BK1043,专业服务,1005.18,0.09,-102865225,-4.96,-24484521,-1.18,-78380704,-3.78,-43647312,-2.1,146615440,7.07
2023-08-11,BK1043,专业服务,1004.25,-1.02,-73164170,-3.23,-17487690,-0.77,-55676480,-2.46,-36211040,-1.6,108176144,4.77
2023-08-10,BK1043,专业服务,1014.65,0.16,-87418040,-3.87,-13482936,-0.6000000000000001,-73935104,-3.27,-3562192,-0.16,90376384,4.0
2023-08-09,BK1043,专业服务,1013.07,0.13,-21247727,-0.84,6705089,0.26,-27952816,-1.1,20553152,0.81,-454144,-0.02
2023-08-08,BK1043,专业服务,1011.78,0.05,-44790038,-1.9,-48439110,-2.05,3649072,0.15,38126928,1.61,6403680,0.27
2023-08-07,BK1043,专业服务,1011.25,-0.30000000000000004,-55787008,-2.14,-37022816,-1.42,-18764192,-0.72,8578848,0.33,46445888,1.79
2023-08-04,BK1043,专业服务,1014.3,0.47,-23283468,-0.93,-40382780,-1.61,17099312,0.68,10144592,0.4,12571712,0.5
2023-08-03,BK1043,专业服务,1009.6,0.14,-58776747,-2.49,-3005499,-0.13,-55771248,-2.36,28807680,1.22,28714928,1.21
2023-08-02,BK1043,专业服务,1008.19,0.21,-161920053,-6.94,-126493845,-5.43,-35426208,-1.52,24549344,1.05,134789152,5.78
2023-08-01,BK1043,专业服务,1006.12,-0.04,-12140156,-0.52,103337700,4.45,-115477856,-4.98,-46842592,-2.02,57545808,2.48
2023-07-31,BK1043,专业服务,1006.51,0.5,-35261183,-1.49,-7274287,-0.31,-27986896,-1.18,-29816272,-1.26,62732432,2.64
2023-07-28,BK1043,专业服务,1001.47,-0.25,-128727596,-6.12,-59821692,-2.84,-68905904,-3.28,-23663632,-1.12,152245584,7.24
2023-07-27,BK1043,专业服务,1004.04,-0.85,-140410244,-6.93,-16913156,-0.8300000000000001,-123497088,-6.09,38021520,1.88,96066496,4.74
2023-07-26,BK1043,专业服务,1012.64,0.88,-53666755,-2.66,-36735011,-1.82,-16931744,-0.84,-19101568,-0.95,73230976,3.63
2023-07-24,BK1043,专业服务,989.16,0.02,-16716581,-0.88,7989883,0.42,-24706464,-1.3,31876096,1.6800000000000002,-15240176,-0.8
2023-07-21,BK1043,专业服务,989.01,-0.6000000000000001,-70050231,-3.42,-38884935,-1.9,-31165296,-1.52,22082864,1.08,47063696,2.3
2023-07-20,BK1043,专业服务,994.98,-0.85,-87317721,-3.9,-62295561,-2.78,-25022160,-1.12,-320720,-0.01,87215424,3.89
2023-07-19,BK1043,专业服务,1003.47,-0.35000000000000003,-90439140,-4.35,-25808964,-1.24,-64630176,-3.11,12381488,0.6000000000000001,77280400,3.72
2023-07-17,BK1043,专业服务,1003.88,-0.02,-50555702,-2.43,-23202918,-1.12,-27352784,-1.32,16543888,0.8,33931232,1.63
2023-07-14,BK1043,专业服务,1004.11,0.0,-173594184,-6.87,-81771384,-3.24,-91822800,-3.64,-16613248,-0.66,188488272,7.46
2023-07-13,BK1043,专业服务,1004.11,0.94,-18683530,-0.92,-25485434,-1.25,6801904,0.33,-47339824,-2.33,66491152,3.27
2023-07-12,BK1043,专业服务,994.79,-1.44,-22323352,-1.0,4136808,0.18,-26460160,-1.18,35620320,1.59,-17128560,-0.77
2023-07-11,BK1043,专业服务,1009.34,1.35,-91016904,-4.4,-50216520,-2.43,-40800384,-1.97,38104656,1.84,52744160,2.55
2023-07-10,BK1043,专业服务,995.86,-0.11,43826554,2.24,30196666,1.54,13629888,0.7000000000000001,56362976,2.88,-100378752,-5.13
2023-07-07,BK1043,专业服务,996.97,-0.66,-87788327,-4.42,-43993591,-2.22,-43794736,-2.21,39392080,1.99,48337552,2.44
2023-07-06,BK1043,专业服务,1003.61,-0.46,-106840323,-4.54,-15564691,-0.66,-91275632,-3.88,13989248,0.59,91381856,3.88
2023-07-05,BK1043,专业服务,1008.25,-0.92,-5867712,-0.25,-9811248,-0.43,3943536,0.17,24846128,1.08,-21172896,-0.92
2023-07-04,BK1043,专业服务,1017.66,0.29,-106731893,-5.17,-59013509,-2.86,-47718384,-2.31,49711136,2.41,55223168,2.67
2023-07-03,BK1043,专业服务,1014.75,-0.19,-37747601,-1.7000000000000002,-21924641,-0.99,-15822960,-0.71,-35631360,-1.6,72541792,3.27
2023-06-30,BK1043,专业服务,1016.71,0.62,-62368899,-2.75,-49239123,-2.17,-13129776,-0.58,-10135568,-0.45,72024752,3.18
2023-06-29,BK1043,专业服务,1010.44,1.08,-43690222,-1.97,-9864958,-0.44,-33825264,-1.52,-57435376,-2.59,101123088,4.55
2023-06-28,BK1043,专业服务,999.61,-0.07,-110101964,-4.14,-32197500,-1.21,-77904464,-2.93,-21356640,-0.8,131052512,4.93
2023-06-27,BK1043,专业服务,1000.29,1.21,-38452923,-1.82,-16035899,-0.76,-22417024,-1.06,11613808,0.55,25939584,1.23
2023-06-26,BK1043,专业服务,988.37,-1.28,-42546473,-1.65,-30487609,-1.18,-12058864,-0.47,32480768,1.26,8649824,0.34
2023-06-21,BK1043,专业服务,1001.16,-1.51,-20543703,-0.9,-4172055,-0.18,-16371648,-0.72,12911264,0.5700000000000001,7299952,0.32
2023-06-20,BK1043,专业服务,1016.53,-0.5,-129855928,-5.61,-27664232,-1.19,-102191696,-4.41,-20402352,-0.88,147185776,6.36
2023-06-19,BK1043,专业服务,1021.63,0.12,-23163887,-0.87,40368161,1.51,-63532048,-2.37,-25599648,-0.96,46311744,1.73
2023-06-16,BK1043,专业服务,1020.44,1.37,136808261,6.32,112790421,5.21,24017840,1.11,-61046208,-2.8200000000000003,-75210672,-3.47
